Spotify ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1I08zQMc1sHy2xwd8itedV,Soh-Soh,Sunday At Zuri's,Odeal,2024-07-05,184552,0.7307692307692307,dkim3530,2024-09-25T19:56:38Z,uk contemporary r&b,OVMBR,0.776,0.5578901291311009,9,0.36588404408241487,0,0.06047819971870604,0.05826993253430207,0.01590181430096051,0.06433313216656608,0.685072880093627,0.3499614233250008,4
1mh9eHVRdNhzryG43PXdW1,MUTT,MUTT,Leon Thomas,2024-08-09,193333,0.6794871794871795,dkim3530,2024-09-25T19:56:38Z,indie r&b,EZMNY Records/Motown Records,0.635,0.46268330050339246,1,0.6733588883564925,1,0.18625678119349,0.17744770844316082,2.4119530416221986e-05,0.04369342184671092,0.602085328226407,0.8741598000185169,4
5Nt2FMqnKI2mlp7lztURNo,KEHLANI (REMIX) [feat. Kehlani],KEHLANI (REMIX) [feat. Kehlani],"Jordan Adetunji,Kehlani",2024-06-20,179974,0.8205128205128205,dkim3530,2024-09-25T19:56:38Z,"irish hip hop,pop,r&b,rap",300 Entertainment,0.408,0.7220398336616327,6,0.8882606612362243,1,0.057464335945348596,0.07683376854075942,0.0,0.31925165962582974,0.19565911267156083,0.7490973058050182,4
6NCtzHANN8GwvxdrSzJBB9,Wait On It (feat. Bryson Tiller & Chris Brown),Wait On It (feat. Bryson Tiller & Chris Brown),"Jeremih,Bryson Tiller,Chris Brown",2024-06-28,205400,0.7051282051282052,dkim3530,2024-09-25T19:56:38Z,"chicago rap,pop rap,r&b,southern hip hop,trap,urban contemporary,kentucky hip hop,rap",PULSE Records,0.621,0.6465309695775882,8,0.784906564446574,1,0.37713482017279487,0.02227044944995662,3.191035218783351e-06,0.09354254677127338,0.5361208639216939,0.2745054470265099,4
7jEpRsSusmGqKFISucMnV7,Please Don't Fall In Love With Me,Please Don't Fall In Love With Me,Khalid,2024-04-05,177562,0.6923076923076923,dkim3530,2024-09-25T19:56:38Z,"pop,pop r&b","Right Hand Music Group, LLC/RCA Records",0.665,0.5896257386736704,1,0.7804983229516053,1,0.02511553144464537,0.382572968183021,0.002294557097118463,0.09837054918527459,0.19991488456218748,0.4421751072431565,4
4t4rGgiVX7woTmlnW9SHJ7,Residuals,11:11 (Deluxe),Chris Brown,2024-04-11,215178,0.7435897435897436,dkim3530,2024-09-25T19:56:38Z,"r&b,rap",Chris Brown Entertainment/RCA Records,0.58,0.6629459400306413,6,0.6876856732151413,0,0.11010648985332529,0.3497529266246434,0.0,0.08992154496077248,0.1445898499840409,0.47269080023454624,4
1D1M805zV8DwhYXsvJdQZx,Burning,Born in the Wild,Tems,2024-06-06,175237,0.6923076923076923,dkim3530,2024-09-25T19:56:38Z,"afro r&b,afrobeats,alte,nigerian pop",RCA Records/Since 93',0.831,0.2777413000656599,1,0.6755150934355534,0,0.05987542696403455,0.3866754733778182,2.177161152614728e-05,0.04695232347616174,0.4084477072028939,0.33135820757337286,4
3iHpwGD3h3Bj87KrJEBMI4,One Wish (feat. Childish Gambino),One Wish (feat. Childish Gambino),"Ravyn Lenae,Childish Gambino",2024-07-26,195502,0.6282051282051282,dkim3530,2024-09-25T19:56:38Z,"alternative r&b,indie soul,atl hip hop,hip hop,rap",Atlantic Records,0.407,0.556795797767564,9,0.6105414470531864,1,0.06911794253566406,0.25231842824820977,0.00944503735325507,0.032951116475558234,0.5159059474412172,0.6177082368916459,4
0rNDm3uRDxLCnBlpU83Lkt,S.I.N.G.L.E.,While We Wait 2,Kehlani,2024-08-28,236303,0.5512820512820513,dkim3530,2024-09-25T19:56:38Z,"pop,r&b,rap",TSNMI / Atlantic,0.724,0.7220398336616327,6,0.8383325347388595,0,0.08137432188065098,0.6420564217539441,0.0,0.36632468316234157,0.46483668475369716,0.3682745424806345,4
79Az2dOKvoR2hfVEIRZd1D,Leave My Baby Tonight (feat. GloRilla),Revenge,"Muni Long,GloRilla",2024-08-30,196040,0.5,dkim3530,2024-09-25T19:56:38Z,"indie r&b,southern hip hop",Muni Long PS/ Def Jam,0.776,0.5316261764062158,5,0.7075706756109247,0,0.8071127185051236,0.32821477435195806,0.0,0.09595654797827399,0.4807958293435472,0.30576798444588466,4
6SSSGEgfuqTP75xaNOwsTo,Here We Go (Uh Oh),Here We Go (Uh Oh),Coco Jones,2024-05-03,216507,0.6538461538461539,dkim3530,2024-09-25T19:56:38Z,pop r&b,High Standardz/Def Jam,0.401,0.7767564018384767,3,0.9489218974604695,0,0.28671890697207153,0.32924040065065735,0.0001718249733191035,0.1007845503922752,0.4669645706990105,0.8569762059068605,3
6bAhP5wDZy04YjQ1NTcyO5,Baddest In The Room,Baddest In The Room,Fridayy,2024-06-21,158338,0.6666666666666666,dkim3530,2024-09-25T19:56:38Z,,FRIDAYY PS/ Def Jam,0.432,0.5546071350404903,7,0.7597029228557738,0,0.24854329917621054,0.5312887814944196,7.427961579509071e-06,0.12613156306578155,0.768060431960847,0.9580409221368391,4
3OgdnA3LYpJ6vxrfk6X3p4,Alright,JAGUAR II,Victoria Monét,2023-08-25,173913,0.6794871794871795,dkim3530,2024-09-25T19:56:38Z,"alternative r&b,r&b",Lovett Music/RCA Records,0.788,0.5349091704968265,11,0.7406324868231912,1,0.0916214587100663,0.28513846980658747,0.0027427961579509067,0.08388654194327096,0.4563251409724439,0.42970712588340587,4
11bJ1ws3dathgY9uzADUhL,In The Night (feat. Jorja Smith & Amaarae),Bando Stone and The New World,"Childish Gambino,Jorja Smith,Amaarae",2024-07-19,229999,0.7051282051282052,dkim3530,2024-09-25T19:56:38Z,"atl hip hop,hip hop,rap,r&b,uk contemporary r&b,afro r&b,afrobeats,alternative r&b,ghanaian alternative,ghanaian pop",Wolf+Rothstein/RCA Records,0.69,0.602757715036113,5,0.5999520843315763,1,0.13200723327305605,0.046988043248609765,0.1846318036286019,0.15027157513578757,0.34141929992552394,0.35660895596086783,4
4ykLInGVHdWGU5Gni1WY61,Control,The Year I Turned 21,Ayra Starr,2024-05-30,153912,0.5,dkim3530,2024-09-25T19:56:38Z,afrobeats,Mavin Global Holdings Ltd.,0.8,0.8249069818340995,7,0.818351701006229,0,0.14808117339762908,0.2471902967547133,3.7459978655282813e-06,0.9879299939649969,0.6382593892967338,0.3933648119001327,4
1eDI5oU04SLsXl0TfxfwYf,Love Me JeJe,Born in the Wild,Tems,2024-06-06,178041,0.7692307692307693,dkim3530,2024-09-25T19:56:38Z,"afro r&b,afrobeats,alte,nigerian pop",RCA Records/Since 93',0.834,0.521777194134384,8,0.5402012458073789,0,0.2224231464737794,0.15898643506657342,0.5656350053361793,0.09112854556427277,0.5276093201404405,0.4051044656358979,4
7tWfPoTJQu7QzbQmy3omtL,Favorite (feat. Anderson .Paak),Trouble In Paradise,"Chlöe,Anderson .Paak",2024-08-09,152768,0.5641025641025641,dkim3530,2024-09-25T19:56:38Z,"contemporary r&b,escape room,hip hop,indie soul,neo soul",Parkwood Entertainment/Columbia,0.686,1.0,7,0.9219932918064206,1,0.045007032348804495,0.18462709253405593,0.0,0.4194327097163549,0.8595595276093201,0.43009597876739813,4
6dfCnnBrqYANJSU3tpG5pI,To The Moon,I'll Always Come Find You,Blxst,2024-07-19,163695,0.5,dkim3530,2024-09-25T19:56:38Z,"pop rap,westcoast flow",Red Bull Records Inc/Evgle LLC,0.653,0.5042678923177939,6,0.5910397700047915,0,0.4293751255776572,0.48513559805295103,1.7716115261472785e-05,0.3904646952323476,0.6925204809022237,0.6372928432552543,4
6mSLCix3O4P8KhXNNQYVAg,LOVE ME OR LOVE ME NOT,Drugs n' Lullabies,Isaiah Falls,2024-07-12,154315,0.5256410256410257,dkim3530,2024-09-25T19:56:38Z,,LVRS ONLY,0.666,0.6509082950317356,9,0.628941063727839,0,0.13180630902149887,0.5241093974035245,0.002625400213447172,0.25890162945081474,0.3403553569528673,0.3252538345214949,4
1zhMHgotgZXkLCXpqNRnPK,N o C h i l l,PARTYNEXTDOOR 4 (P4),PARTYNEXTDOOR,2024-04-26,265373,0.8333333333333334,dkim3530,2024-09-25T19:56:38Z,"r&b,rap,urban contemporary",OVO Sound,0.575,0.4068724009630116,2,0.6287973167225682,1,0.06951979103877835,0.5210325185074266,0.0034258271077908216,0.06626433313216656,0.028620065964464307,0.26808011603863835,4
